,forecast
2018-02-01,119.19377101237288
2018-03-01,97.60602392070776
2018-04-01,86.30823515564927
2018-05-01,93.91777743177303
2018-06-01,110.30121948454536
2018-07-01,118.99178648445987
2018-08-01,113.32348962605197
2018-09-01,100.89071760131128
2018-10-01,94.2072907767367
2018-11-01,98.42759674417842
2018-12-01,107.86159353128598
2019-01-01,113.00024613568728
2019-02-01,109.85956132150838
2019-03-01,102.70161651941534
2019-04-01,98.75158338610821
2019-05-01,101.08764910540809
2019-06-01,106.51822342785138
2019-07-01,109.55390335010232
2019-08-01,107.81723589652383
2019-09-01,103.69751402782592
